wl,n,k,eps_re,eps_im
0.92262,0.158523,6.036323,-36.41206582,1.913792062
0.92419,0.158874,6.04933,-36.5691525,1.922162509
0.92577,0.159212,6.062966,-36.73420826,1.930593886
0.92734,0.159931,6.062024,-36.72255705,1.939011121
0.92891,0.160252,6.076178,-36.89425838,1.947439354
0.93048,0.16071,6.085183,-37.00362444,1.95589952
0.93205,0.160931,6.103189,-37.22301718,1.964384618
0.93362,0.161269,6.116776,-37.38894094,1.972892697
0.93519,0.161532,6.133198,-37.59002512,1.981415479
0.93677,0.161981,6.14276,-37.70726257,1.990020815
0.93834,0.162127,6.1637,-37.96491253,1.99860438
0.93991,0.1627,6.168402,-38.02271194,2.007198011
0.94148,0.162954,6.185248,-38.23073882,2.015821805
0.94305,0.163139,6.20473,-38.47206004,2.024466895
0.94462,0.163607,6.213461,-38.58033035,2.033131428
0.94619,0.164122,6.22045,-38.66706217,2.04182539
0.94776,0.164604,6.228708,-38.76970887,2.050540503
0.94933,0.165142,6.234861,-38.84621981,2.059274831
0.9509,0.165381,6.252341,-39.06441711,2.068036814
0.95247,0.165892,6.259547,-39.15440849,2.076817542
0.95404,0.166338,6.269228,-39.27555139,2.085621694
0.9556,0.166422,6.292414,-39.56677767,2.094392245
0.95717,0.16646,6.317564,-39.88390596,2.103243407
0.95874,0.166969,6.324902,-39.97650666,2.112125124
0.96031,0.167372,6.336232,-40.11982257,2.121015645
0.96188,0.167882,6.343542,-40.21234074,2.129933036
0.96345,0.167912,6.369069,-40.53684549,2.138886228
0.96501,0.168147,6.386671,-40.76129305,2.147799137
0.96658,0.168664,6.393738,-40.85143807,2.156786852
0.96815,0.16916,6.401635,-40.95231557,2.165801153
0.96972,0.169436,6.417862,-41.16024409,2.174833732
0.97128,0.170132,6.418046,-41.16236956,2.183830004
0.97285,0.170558,6.428638,-41.2982965,2.19291128
0.97442,0.170801,6.446147,-41.52363816,2.202016707
0.97599,0.171108,6.461239,-41.71833147,2.211139366
0.97755,0.171509,6.472667,-41.86600276,2.220241289
0.97912,0.171665,6.493494,-42.13599546,2.229411295
0.98068,0.172225,6.498876,-42.20572781,2.238537838
0.98225,0.172975,6.497365,-42.18583159,2.247763422
0.98382,0.173292,6.512153,-42.37810658,2.257008035
0.98538,0.173747,6.521562,-42.5005829,2.266203666
0.98695,0.174289,6.527916,-42.58331065,2.275487903
0.98851,0.174461,6.547992,-42.84576259,2.284738465
0.99008,0.175152,6.54882,-42.85636517,2.294077841
0.99164,0.175259,6.571337,-43.15175425,2.303371903
0.99321,0.175477,6.589901,-43.39600301,2.312752116
0.99477,0.175743,6.606501,-43.61496986,2.32209261
0.99634,0.176521,6.60408,-43.58271298,2.331517611
0.9979,0.177067,6.610192,-43.66328555,2.340893734
0.99946,0.177134,6.634261,-43.98204256,2.350306376
1.0117,0.180276,6.725525,-45.20018709,2.42490149
1.0151,0.181082,6.753514,-45.57716066,2.445879644
1.0185,0.181866,6.782345,-45.96712846,2.466955912
1.0219,0.182831,6.804463,-46.26728954,2.48813355
1.0254,0.183788,6.828657,-46.59677839,2.510050425
1.0288,0.184567,6.85782,-46.99563017,2.531454528
1.0322,0.185664,6.875261,-47.2347427,2.552976917
1.0356,0.18632,6.909064,-47.70045021,2.574593609
1.039,0.187269,6.932062,-48.01841389,2.596320637
1.0425,0.188148,6.959392,-48.39773734,2.618791372
1.0459,0.188918,6.989115,-48.81203847,2.640739255
1.0493,0.189794,7.014987,-49.17402085,2.662804885
1.0527,0.190689,7.040176,-49.52771582,2.684968243
1.0561,0.19156,7.066286,-49.8957026,2.707235492
1.0595,0.192577,7.087104,-50.18995721,2.729626454
1.063,0.193418,7.116173,-50.60250764,2.752791899
1.0664,0.194168,7.146879,-51.04017823,2.775390403
1.0698,0.195089,7.17137,-51.39048796,2.798110804
1.0732,0.195833,7.202429,-51.83663294,2.820946557
1.0766,0.197126,7.213384,-51.99405007,2.843891069
1.08,0.197328,7.264404,-52.73262714,2.866940625
1.0835,0.198825,7.269685,-52.80878862,2.89079024
1.0869,0.199142,7.31657,-53.49253903,2.914072766
1.0903,0.200009,7.343323,-53.88438908,2.93746138
